?class	?label	?syn_type
<http://purl.obolibrary.org/obo/CHEBI_15741>	"succinic acid"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_15756>	"hexadecanoic acid"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15756>	"hexadecanoic acid"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15756>	"palmitic acid"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_15794>	"5-hydroxy-1,4-naphthoquinone"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15794>	"Juglone"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15794>	"juglone"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15794>	"juglone"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15794>	"juglone"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_15841>	"polypeptide"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15843>	"(5Z,8Z,11Z,14Z)-icosa-5,8,11,14-tetraenoic acid"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15843>	"ARACHIDONIC ACID"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15843>	"Arachidonic acid"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15843>	"arachidonic acid"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15843>	"arachidonic acid"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_15858>	"Bromide"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15858>	"bromide"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15858>	"bromide"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15858>	"bromide"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_15858>	"bromide(1-)"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15864>	"2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4H-chromen-4-one"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15864>	"Luteolin"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15864>	"luteolin"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15864>	"luteolin"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_15889>	"Sterol"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15889>	"sterol"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15889>	"sterol"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_15889>	"sterols"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15891>	"2-aminoethanesulfonic acid"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15891>	"Taurine"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15891>	"taurine"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15891>	"taurine"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_15904>	"long-chain fatty acid"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15940>	"NICOTINIC ACID"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15940>	"Nicotinic acid"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15940>	"niacin"@en	"alternative term"
<http://purl.obolibrary.org/obo/CHEBI_15940>	"niacin (b3)"@en	"label"
<http://purl.obolibrary.org/obo/CHEBI_15940>	"nicotinic acid"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15940>	"nicotinic acid"	"label"
<http://purl.obolibrary.org/obo/CHEBI_15940>	"nicotinic acid"@en	"alternative term"
<http://purl.obolibrary.org/obo/CHEBI_15940>	"pyridine-3-carboxylic acid"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15948>	"LYCOPENE"	"exact synonym"
<http://purl.obolibrary.org/obo/CHEBI_15948>	"Lycopene"	"exact synonym"
